VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"6818","3814","CL2-PCB-11","CL2-BPC-11","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6819","1258","1,2-DICHLORO-4-PHENYLBENZENE/1-CHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 12/13)","1,2-DICHLORO-4-PHÉNYLBENZÈNE/1-CHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 12/13)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6820","3137","3,5-DICHLOROBIPHENYL (PCB 14)","3,5-DICHLOROBIPHÉNYL (BPC 14)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6821","1595","4,4'-DICHLOROBIPHENYL (PCB 15)","4,4'-DICHLOROBIPHÉNYLE (BPC 15)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6822","1591","2,2',3/2,4',6-TRICHLOROBIPHENYL (PCB 16/32)","2,2',3/2,4',6-TRICHLOROBIPHÉNYLE (BPC 16/32)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6823","1593","2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6824","1083","2,2',5-TRICHLOROBIPHENYL (PCB 18)","2,2',5-TRICHLOROBIPHÉNYLE (BPC 18)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6825","1594","2,2',6-TRICHLOROBIPHENYL (PCB 19)","2,2',6-TRICHLOROBIPHÉNYLE (BPC 19)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6826","1736","PCB 33/20/21","BPC 33/20/21","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6827","1586","2,3,4'-TRICHLOROBIPHENYL (PCB 22)","2,3,4'-TRICHLOROBIPHÉNYLE (BPC 22)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6828","1735","PCB 34/23","BPC 34/23","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6829","1592","2,3,6/2,3',6-TRICHLOROBIPHENYL (PCB 24/27)","2,3,6/2,3',6-TRICHLOROBIPHÉNYLE (BPC 24/27)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6830","1589","2,3',4-TRICHLOROBIPHENYL (PCB 25)","2,3',4-TRICHLOROBIPHÉNYLE (BPC 25)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6831","1590","2,3',5-TRICHLOROBIPHENYL (PCB 26)","2,3',5-TRICHLOROBIPHÉNYLE (BPC 26)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6832","2619","2,4,4'-TRICHLOROBIPHENYL (PCB 28)","2,4,4'-TRICHLOROBIPHÉNYLE (BPC 28)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6833","1085","2,4,5-TRICHLOROBIPHENYL (PCB 29)","2,4,5-TRICHLOROBIPHÉNYLE (BPC 29)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6834","5086","PCB 30","BPC 30","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6835","4415","2,4',5-TRICHLOROBIPHENYL (PCB 31)","2,4',5-TRICHLOROBIPHÉNYLE (BPC 31)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6836","3829","CL3-PCB-35","CL3-BPC-35","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6837","3826","CL3-PCB-36","CL3-BPC-36","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6838","1263","1,2-DICHLORO-4-(4-CHLOROPHENYL)BENZENE (PCB 37)","1,2-DICHLORO-4-(4-CHLOROPHÉNYL)BENZÈNE (BPC 37)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6839","3828","CL3-PCB-38","CL3-BPC-38","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6840","3827","CL3-PCB-39","CL3-BPC-39","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6841","1579","2,2',3,3'-TETRACHLOROBIPHENYL (PCB 40)","2,2',3,3'-TÉTRACHLOROBIPHÉNYLE (BPC 40)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6842","1744","PCB 41/71/64/68","BPC 41/71/64/68","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6843","1743","PCB 42/59","BPC 42/59","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6844","1740","PCB 49/43","BPC 49/43","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6845","1086","2,2',3,5'-TETRACHLOROBIPHENYL (PCB 44)","2,2',3,5'-TÉTRACHLOROBIPHÉNYLE (BPC 44)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6846","1585","2,2',3,6-TETRACHLOROBIPHENYL (PCB 45)","2,2',3,6-TÉTRACHLOROBIPHÉNYLE (BPC 45)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6847","1584","2,2',3,6'-TETRACHLOROBIPHENYL (PCB 46)","2,2',3,6'-TÉTRACHLOROBIPHÉNYLE (BPC 46)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6848","1741","PCB 47/48/75","BPC 47/48/75","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6849","1087","2,2',4,6-TETRACHLOROBIPHENYL (PCB 50)","2,2',4,6-TÉTRACHLOROBIPHÉNYLE (BPC 50)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6850","1737","PCB 51","BPC 51","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6851","1739","PCB 52/73","BPC 52/73","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6852","1265","1,4-DICHLORO-2-(2,6-DICHLOROPHENYL)BENZENE (PCB 53)","1,4-DICHLORO-2-(2,6-DICHLOROPHÉNYL)BENZÈNE (BPC 53)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6853","3779","CL4-PCB-54","CL4-BPC-54","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6854","1266","1,2,3-TRICHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 55)","1,2,3-TRICHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 55)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6855","1576","2,3,3',4'/2,3,4,4'-TETRACHLOROBIPHENYL (PCB 56/60)","2,3,3',4'/2,3,4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 56/60)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6856","3842","CL4-PCB-57","CL4-BPC-57","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6857","3843","CL4-PCB-58","CL4-BPC-58","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6858","1745","PCB 74/61","BPC 74/61","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6859","1742","PCB 65/62","BPC 65/62","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6860","1268","1,2,5-TRICHLORO-3-(4-CHLOROPHENYL)BENZENE (PCB 63)","1,2,5-TRICHLORO-3-(4-CHLOROPHÉNYL)BENZÈNE (BPC 63)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6861","1746","PCB 66/80","BPC 66/80","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6862","3844","CL4-PCB-67","CL4-BPC-67","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6863","1738","PCB 69","BPC 69","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6864","1577","2,3',4',5/2,3',4',5'-TETRACHLOROBIPHENYL (PCB 70/76)","2,3',4',5/2,3',4',5'-TÉTRACHLOROBIPHÉNYLE (BPC 70/76)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6865","3840","CL4-PCB-72","CL4-BPC-72","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6866","1090","3,3'4,4'-TETRACHLOROBIPHENYL (PCB 77)","3,3'4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 77)","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
"6867","3850","CL4-PCB-78","CL4-BPC-78","PCB","BPC","NG/G DWT","NANOGRAM PER GRAM DRY WEIGHT","NANOGRAMME PAR GRAMME POIDS SEC","3700","AXYS METHOD MLA-007: ANALYTICAL METHOD FOR THE DETERMINATION OF PCB AROCLORS, TOTAL PCBS AND PCB CONGENERS, CHLORINATED PESTICIDES, CHLOROBENZENES, TECHNICAL TOXAPHENE, TOXAPHENE CONGENERS/PARLARS IN SOLID SAMPLES BY GC/MS",""
