stream,parameter,water_year,load,Unmonitored Load (MTA)/charge non surveillée (TM/A),Total Load/charge totale,FWMC (mg/L)/CMPFD
Grand-ON,TP/PT,2016,96.88,7.515,104.901,0.04713
Grand-ON,TP/PT,2017,264.224,26.801,291.394,0.10364
Grand-ON,TP/PT,2018,298.205,31.077,329.631,0.12056
Grand-ON,TP/PT,2019,352.042,37.388,389.779,0.13256
Grand-ON,TP/PT,2020,313.164,33.26,346.766,0.14799
Kettle,TP/PT,2011,28.288,7.68,36.071,0.20237
Kettle,TP/PT,2012,27.413,7.56,35.035,0.26499
Kettle,TP/PT,2013,48.874,14.608,63.57,0.46576
Kettle,TP/PT,2014,63.364,19.535,82.983,0.50711
Kettle,TP/PT,2015,21.644,5.979,27.686,0.28293
Kettle,TP/PT,2016,24.595,6.895,31.561,0.29927
Kettle,TP/PT,2017,10.11,2.479,12.693,0.11208
Kettle,TP/PT,2018,26.426,7.901,34.421,0.28439
Kettle,TP/PT,2019,16.826,4.768,21.688,0.13975
Kettle,TP/PT,2020,15.675,3.854,19.58,0.16677
Lynn,TP/PT,2011,4.49,3.495,7.985,0.12412
Lynn,TP/PT,2012,3.44,2.018,5.458,0.10249
Lynn,TP/PT,2013,4.015,3.087,7.102,0.11669
Lynn,TP/PT,2014,2.592,1.774,4.366,0.06139
Lynn,TP/PT,2015,1.825,0.48,2.305,0.04338
Lynn,TP/PT,2016,1.61,0.799,2.409,0.05391
Lynn,TP/PT,2017,1.934,1.115,3.049,0.05644
Lynn,TP/PT,2018,3.066,2.218,5.284,0.08847
Lynn,TP/PT,2019,3.942,3.075,7.017,0.09357
Lynn,TP/PT,2020,2.94,1.974,4.914,0.07901
Nanticoke,TP/PT,2011,17.812,0.697,18.523,0.24888
Nanticoke,TP/PT,2012,4.575,0.175,4.759,0.0925
Nanticoke,TP/PT,2013,18.98,0.745,19.742,0.30793
Nanticoke,TP/PT,2014,10.439,0.405,10.855,0.13579
Nanticoke,TP/PT,2015,5.074,0.194,5.279,0.10508
Nanticoke,TP/PT,2016,2.196,0.08,2.288,0.05756
Nanticoke,TP/PT,2017,11.278,0.434,11.725,0.18014
Nanticoke,TP/PT,2018,16.826,0.652,17.497,0.30654
Nanticoke,TP/PT,2019,12.556,0.483,13.058,0.17764
Nanticoke,TP/PT,2020,11.176,0.426,11.619,0.20012
Sydenham,TP/PT,2011,109.281,150.918,261.988,0.51124
Sydenham,TP/PT,2012,41.431,56.62,100.156,0.2666
Sydenham,TP/PT,2013,87.564,121.041,210.622,0.49868
Sydenham,TP/PT,2014,71.796,99.132,172.456,0.36835
Sydenham,TP/PT,2015,53.472,73.534,128.2,0.38661
Sydenham,TP/PT,2016,36.527,50.043,88.163,0.27667
Sydenham,TP/PT,2017,72.672,100.078,174.01,0.46205
Sydenham,TP/PT,2018,82.782,113.996,198.066,0.47351
Sydenham,TP/PT,2019,113.917,157.298,272.503,0.46477
Sydenham,TP/PT,2020,76.11,105.005,182.555,0.50979
Thames,TP/PT,2011,459.134,129.163,588.482,0.25201
Thames,TP/PT,2012,145.375,34.265,179.821,0.10352
Thames,TP/PT,2013,287.328,75.072,362.669,0.17742
Thames,TP/PT,2014,432.014,120.651,552.773,0.22697
Thames,TP/PT,2015,260.464,69.409,329.997,0.2131
Thames,TP/PT,2016,226.591,57.943,284.674,0.17513
Thames,TP/PT,2017,323.901,87.428,411.464,0.21811
Thames,TP/PT,2018,459.06,128.852,588.025,0.28514
Thames,TP/PT,2019,523.739,148.655,672.507,0.2894
Thames,TP/PT,2020,332.37,92.112,424.605,0.2473
Turkey,TP/PT,2011,2.007,1.617,3.624,0.24502
Turkey,TP/PT,2012,1.903,1.501,3.404,0.16043
Turkey,TP/PT,2013,,,,
Turkey,TP/PT,2014,,,,
Turkey,TP/PT,2015,,,,
Turkey,TP/PT,2016,,,,
Turkey,TP/PT,2017,1.424,1.571,2.995,0.21683
Turkey,TP/PT,2018,1.533,1.692,3.225,0.30078
Turkey,TP/PT,2019,1.496,1.651,3.147,0.30148
Turkey,TP/PT,2020,1.413,1.559,2.972,0.27513
Big,SRP/PRS,2011,5.658,1.876,7.684,0.03007
Big,SRP/PRS,2012,2.416,0.801,3.494,0.016
Big,SRP/PRS,2013,2.446,0.811,3.405,0.01366
Big,SRP/PRS,2014,6.789,2.251,9.217,0.02592
Big,SRP/PRS,2015,2.956,0.98,4.091,0.01468
Big,SRP/PRS,2016,2.159,0.716,2.979,0.01302
Big,SRP/PRS,2017,3.285,1.089,4.505,0.02126
Big,SRP/PRS,2018,2.738,0.908,3.787,0.01653
Big,SRP/PRS,2019,4.526,1.501,6.168,0.02115
Big Otter,SRP/PRS,2011,19.053,1.399,20.506,0.06125
Big Otter,SRP/PRS,2012,10.211,0.748,10.991,0.04008
Big Otter,SRP/PRS,2013,10.22,0.748,11.025,0.0348
Big Otter,SRP/PRS,2014,18.944,1.391,20.398,0.05762
Big Otter,SRP/PRS,2015,14.272,1.048,15.385,0.06205
Big Otter,SRP/PRS,2016,4.136,0.299,4.486,0.02135
Big Otter,SRP/PRS,2017,10.11,0.74,10.906,0.03991
Big Otter,SRP/PRS,2018,9.016,0.659,9.73,0.03128
Big Otter,SRP/PRS,2019,16.06,1.178,17.293,0.04625
Canard,SRP/PRS,2011,,,,
Canard,SRP/PRS,2012,,,,
Canard,SRP/PRS,2013,,,,
Canard,SRP/PRS,2014,,,,
Canard,SRP/PRS,2015,,,,
Canard,SRP/PRS,2016,,,,
Canard,SRP/PRS,2017,,,,
Canard,SRP/PRS,2018,10.694,12.347,23.041,0.28374
Canard,SRP/PRS,2019,16.06,18.557,34.617,0.4253
Grand-ON,SRP/PRS,2011,134.466,12.566,147.614,0.05328
Grand-ON,SRP/PRS,2012,37.954,1.483,40.031,0.02264
Grand-ON,SRP/PRS,2013,64.35,4.654,69.717,0.0253
Grand-ON,SRP/PRS,2014,160.564,14.997,175.861,0.04284
Grand-ON,SRP/PRS,2015,83.402,6.961,90.642,0.03938
Grand-ON,SRP/PRS,2016,18.666,2.188,21.208,0.00953
Grand-ON,SRP/PRS,2017,49.932,2.933,53.124,0.01889
Grand-ON,SRP/PRS,2018,35.259,1.418,36.921,0.0135
Grand-ON,SRP/PRS,2019,90.885,7.938,99.067,0.03369
Kettle,SRP/PRS,2011,15.804,4.071,19.947,0.11191
Kettle,SRP/PRS,2012,7.174,1.372,8.589,0.06497
Kettle,SRP/PRS,2013,8.504,1.838,10.404,0.07622
Kettle,SRP/PRS,2014,10.84,2.739,13.638,0.08334
Kettle,SRP/PRS,2015,9.38,2.302,11.726,0.11983
Kettle,SRP/PRS,2016,,,0.05,0.00047
Kettle,SRP/PRS,2017,,,0.073,0.00064
Kettle,SRP/PRS,2018,,,0.066,0.00054
Kettle,SRP/PRS,2019,5.183,1.186,6.435,0.04146
Lynn,SRP/PRS,2011,1.825,1.156,2.981,0.04634
Lynn,SRP/PRS,2012,1.574,0.596,2.17,0.04075
Lynn,SRP/PRS,2013,1.496,0.874,2.37,0.03894
Lynn,SRP/PRS,2014,1.496,0.93,2.426,0.03411
Lynn,SRP/PRS,2015,0.912,0.893,1.805,0.03397
Lynn,SRP/PRS,2016,0.659,0.101,0.76,0.01701
Lynn,SRP/PRS,2017,0.839,0.277,1.116,0.02066
Lynn,SRP/PRS,2018,0.876,0.309,1.185,0.01984
Lynn,SRP/PRS,2019,1.642,1.059,2.701,0.03602
Nanticoke,SRP/PRS,2011,,,0.01,0.00013
Nanticoke,SRP/PRS,2012,,,0.006,0.00012
Nanticoke,SRP/PRS,2013,,,0.012,0.00019
Nanticoke,SRP/PRS,2014,8.103,0.315,8.426,0.1054
Nanticoke,SRP/PRS,2015,3.102,0.118,3.228,0.06425
Nanticoke,SRP/PRS,2016,0.659,0.021,0.688,0.01732
Nanticoke,SRP/PRS,2017,7.556,0.29,7.855,0.12068
Nanticoke,SRP/PRS,2018,2.884,0.105,3.002,0.0526
Nanticoke,SRP/PRS,2019,4.234,0.158,4.405,0.05993
Sydenham,SRP/PRS,2011,32.631,44.635,78.518,0.15322
Sydenham,SRP/PRS,2012,11.236,14.926,27.635,0.07356
Sydenham,SRP/PRS,2013,34.383,47.3,83.095,0.19674
Sydenham,SRP/PRS,2014,23.396,32.035,56.5,0.12068
Sydenham,SRP/PRS,2015,21.389,29.164,51.389,0.15497
Sydenham,SRP/PRS,2016,,,1.115,0.0035
Sydenham,SRP/PRS,2017,16.498,22.25,39.63,0.10523
Sydenham,SRP/PRS,2018,24.2,32.862,57.964,0.13857
Sydenham,SRP/PRS,2019,41.683,57.177,99.762,0.17015
Thames,SRP/PRS,2011,144.686,36.31,181.126,0.07757
Thames,SRP/PRS,2012,38.137,4.505,42.769,0.02462
Thames,SRP/PRS,2013,141.876,34.408,176.472,0.08633
Thames,SRP/PRS,2014,154.979,39.316,194.371,0.07981
Thames,SRP/PRS,2015,104.134,24.646,128.867,0.08322
Thames,SRP/PRS,2016,63.062,11.304,74.464,0.04581
Thames,SRP/PRS,2017,66.138,12.03,78.263,0.04149
Thames,SRP/PRS,2018,131.838,32.174,164.091,0.07957
Thames,SRP/PRS,2019,170.893,44.132,215.104,0.09257
Turkey,SRP/PRS,2011,,,,
Turkey,SRP/PRS,2012,,,,
Turkey,SRP/PRS,2013,,,,
Turkey,SRP/PRS,2014,,,,
Turkey,SRP/PRS,2015,,,,
Turkey,SRP/PRS,2016,,,,
Turkey,SRP/PRS,2018,0.511,0.564,1.075,0.10026
Turkey,SRP/PRS,2019,0.219,0.242,0.461,0.04416
